- Alan Mycroft
+ Mihai Nadin
+ Makoto Nagao
- Frieder Nake
+ Peter Naur
+ Roger Needham
- James G. Nell
+ Bernard de Neumann
+ Klara Dan von Neumann
+ John von Neumann
- Allen Newell
+ Max Newman
- Andrew Ng
+ Nils Nilsson
- G.M. Nijssen
+ Tobias Nipkow
+ Jerre Noe
+ Peter Nordin
+ Donald Norman
+ Peter Norvig
+ George Novacky
- Kristen Nygaard
- T. William Olle
- Steve Omohundro
+ John Ousterhout
+ Mark Overmars
+ Martin Odersky
+ Severo Ornstein
+ John O'Sullivan
+ Larry Page
+ Sankar Pal
+ Paritosh Pandya
- Christos Papadimitriou
+ David Parnas
+ Yale Patt
+ David A. Patterson
+ Mihai Pătraşcu
+ Lawrence Paulson
+ Randy Pausch
+ Juan Pavón
+ Judea Pearl
+ David Pearson
- Alan Perlis
+ Radia Perlman
- Rózsa Péter
+ Simon Peyton Jones
+ Gordon Plotkin
- Amir Pnueli
- Willem van der Poel
- Emil Post
+ Jon Postel
- Franco Preparata
- William H. Press
+ Rapelang Rabana
- Michael O. Rabin
- Dragomir R. Radev
+ T. V. Raman
- Brian Randell
+ Raj Reddy
+ David P. Reed
- Trygve Reenskaug
- John C. Reynolds
- Joyce K. Reynolds
+ Martin Richards
- Adam Riese
- C. J. van Rijsbergen
+ Dennis Ritchie
+ Ron Rivest
+ Colette Rolland
- Azriel Rosenfeld
- Douglas T. Ross
- Guido van Rossum
- Winston W. Royce
+ Rudy Rucker
- Steven Rudich
+ Jeff Rulifson
+ James Rumbaugh
+ Peter Ružička
+ George Sadowsky
+ Gerard Salton
- Jean E. Sammet
- Claude Sammut
+ Carl Sassenrath
+ Mahadev Satyanarayanan
+ Walter Savitch
+ Jonathan Schaeffer
+ Wilhelm Schickard
- Steve Schneider
- Bruce Schneier
+ Fred B. Schneider
+ Dana Scott
- Michael L. Scott
+ Ravi Sethi
+ Nigel Shadbolt
- Adi Shamir
- Claude Shannon
+ David E. Shaw
- Cliff Shaw
- Scott Shenker
+ Ben Shneiderman
- Edward H. Shortliffe
+ Joseph Sifakis
- Herbert A. Simon
- Munindar P. Singh
+ Ramesh Sitaraman
+ Daniel Sleator
+ Aaron Sloman
- Arne Sølvberg
+ Brian Cantwell Smith
